8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
POWERBLOCK,501-00096-01,Elite EXP Stage 1,STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,A,0,0,120,0,0,32,0, $ -   ,60," $ 27,561 ",53.6%,1.8,31-Aug-2026,60,34,PO0033160,0.00,,,
FORCE USA,RHD10,Force USA Rubber Hex Dumbbells - 10kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,A,10,303,288,63,240,0,10, $ 356 ,795," $ 27,447 ",43.1%,24.1,30-Sep-2026,72,0,PO0033286,0.44,,,
REP,AB-4102-MBLK,"REP Fitness Nighthawk Adjustable Bench, Mettalic Black",STRENGTH,Benches - Adjustable,A,0,2,50,2,0,4,0, $ -   ,36," $ 27,446 ",56.1%,1.1,15-Oct-2026,30,4,PO0033287,11.98,,,
CENTR,HSB10,CENTR X HYROX 10kg Competition Sandbag + 2 Inserts,FUNCTIONAL,Hyrox,B,6.6,87,192,54,33,0,8," $ 1,384 ",164," $ 26,835 ",60.4%,5.0,5-Oct-2026,8,0,PO0033370,0.34,,,
CENTR,HUOKB24,CENTR X HYROX 24kg Competition Octo Kettlebell,FUNCTIONAL,Hyrox,B,11.4,75,140,37,38,0,7," $ 1,903 ",110," $ 26,574 ",54.4%,3.3,5-Oct-2026,40,0,PO0033370,0.18,,,
Stepr,STEPR-CL,"STEPR CLASSIC, LED CONSOLE",,,B,0,0,4,0,0,0,0, $ -   ,6," $ 26,512 ",48.5%,0.2,5-Oct-2026,4,0,PO0033387,0.00,,,
CENTR,HUOKB32,CENTR X HYROX 32kg Competition Octo Kettlebell,FUNCTIONAL,Hyrox,A,3.9,42,160,31,11,0,8," $ 2,575 ",92," $ 26,461 ",44.2%,2.8,15-Sep-2026,40,0,PO0033305,0.03,,,
PROFORM,PFTL16925-INT,ProForm Carbon Pro 9000,CARDIO,Treadmills - Motorised Treadmill,A,93.5,34,0,0,34,0,1," $ 2,208 ",12," $ 25,778 ",29.2%,0.4,,,,,0.00,,,
FORCE USA,RHD25,Force USA Rubber Hex Dumbbells - 25kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,A,21,205,80,28,177,0,9, $ 835 ,278," $ 25,365 ",49.8%,8.4,31-Oct-2026,80,0,PO0033379,0.32,,,
FORCE USA,F-UTBP5,Force USA - Ultimate Training Bumper Plates - 5kg - Black,STRENGTH,Barbells & Weight Plates - Bumper Plates,A,2.5,85,384,34,51,0,14, $ 513 ,682," $ 25,348 ",46.1%,20.7,31-Aug-2026,128,0,PO0033155,1.00,,,
FORCE USA,F-LATROWSEAT-2,"Force USA Lat Pulldown / Low Row Seat - 2""x 2"" Upright Size",STRENGTH,All-In-One Trainers - All-In-One Attachments,B,2.1,21,80,10,11,0,2, $ 189 ,170," $ 25,241 ",63.0%,5.2,15-Dec-2026,80,0,PO0033381,1.95,,,
FORCE USA,F-OB-RANGER-V2,Force USA - The Ranger Barbell 2020 Version - Competition Tested - Crossfit Warranty,STRENGTH,Barbells & Weight Plates - Olympic Barbells,A,3.2,22,50,12,10,0,1, $ 91 ,103," $ 24,863 ",52.2%,3.1,31-Aug-2026,50,0,PO0033155,0.74,,,
Stepr,STEPR-H-M,"STEPR+, 27"" HD TOUCHSCREEN",,,A,0,0,4,0,0,3,0, $ -   ,7," $ 24,787 ",26.3%,0.2,5-Oct-2026,4,3,PO0033387,0.00,,,
TORQUE USA,XTTM1-RPH-103,Torque USA TANK™ M1 Push Sled,FUNCTIONAL,Sleds,Obsolete,0,0,0,0,0,0,0, $ -   ,15," $ 24,693 ",100.0%,0.5,,,,,0.00,,,
FORCE USA,F-MYRACK-BASE,Force USA Base Power Rack,STRENGTH,Rigs & Racks - Power Racks,A,57.8,83,0,6,77,0,1, $ 566 ,44," $ 24,361 ",51.0%,1.3,,,,,0.10,,,
INSPIRE,I-FT20-PRO,Inspire FT2 Pro Functional Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,Non-stocked,0,0,8,0,0,0,0, $ -   ,6," $ 24,202 ",-0.5%,0.2,15-Sep-2026,8,0,PO0033368,0.00,,,
FORCE USA,RCOWP500,Force USA Rubber Coated Olympic Weight Plate 5kg,STRENGTH,Barbells & Weight Plates - Weight Plates,A,8.7,333,576,49,284,0,12, $ 248 ,"1,080"," $ 23,846 ",53.0%,32.7,30-Sep-2026,384,0,PO0033286,0.46,,,
FORCE USA,F-BPBST-V2,Force USA Bumper Plate and Barbell Storage Tree,STRENGTH,Storage - Bar & Plate Storage,A,5.5,22,61,5,17,0,3, $ 716 ,102," $ 23,183 ",47.2%,3.1,31-Aug-2026,60,0,PO0033155,0.57,,,
CENTR,BW1.1,Centr Body Weight Home Gym Machine,STRENGTH,Home Gyms & Multi-Station Units,Obsolete,24.8,13,0,1,12,0,0, $ -   ,16," $ 23,048 ",61.3%,0.5,,,,,0.21,,,
IMPULSE,RE500,Impulse RE500 Elliptical,CARDIO,Ellipticals,Obsolete,0,1,0,1,0,0,0, $ -   ,7," $ 23,046 ",47.9%,0.2,,,,,0.00,,,
REP,DB-7000-01,REP x PEPIN Fast Series Adjustable Dumbbell - 20LB Add-On Weight Per Dumbbell (40lb total),STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,Obsolete,0.5,1,0,0,1,0,0, $ -   ,67," $ 22,801 ",46.5%,2.0,,,,,0.00,,,
CENTR,HWB9,CENTR X HYROX 9kg Competition Wall ball,FUNCTIONAL,Hyrox,A,4.7,47,202,23,24,0,7," $ 1,020 ",167," $ 21,808 ",48.1%,5.1,5-Oct-2026,48,0,PO0033370,0.33,,,
IMPULSE,RR500,Impulse RR500 Recumbent Bike,CARDIO,Bikes - Recumbent Bikes,Obsolete,0,1,0,1,0,1,0, $ -   ,8," $ 21,775 ",57.9%,0.2,,,,,0.00,,,
FORCE USA,F-GS-LEG-EXT-CURL,Force USA G Series Leg Extension and Curl attachment,STRENGTH,All-In-One Trainers - All-In-One Attachments,A,26.7,88,0,3,85,0,3, $ 815 ,105," $ 21,707 ",34.3%,3.2,,,,,0.02,,,
FORCE USA,F-GHD,Force USA Glute Ham Developer,STRENGTH,Single Stations - Lower Body,B,0,1,40,1,0,8,0, $ -   ,33," $ 21,640 ",46.8%,1.0,24-Aug-2026,20,8,PO0033159,0.03,,,
FORCE USA,F-VESTPLATE20,Force USA 20lb Curved Weight Vest Plate Pair- To make 20kg Vest,FUNCTIONAL,Vests,A,14.7,89,0,2,87,0,7, $ 801 ,195," $ 21,576 ",47.9%,5.9,,,,,0.12,,,
FORCE USA,F-S-AAOIT,Force USA Solitude Abductor / Adductor (Outer / Inner Thigh) Machine,COMMERCIAL,Pin Loaded - Dual Function,B,33,10,0,1,9,0,2," $ 5,453 ",9," $ 21,224 ",52.4%,0.3,,,,,0.18,,,
FORCE USA,F-T20-GREY-V2,Force USA Rubber Gym Flooring EPDM Grey with white fleck Version 2,FLOORING,Rubber Flooring - Commercial Flooring,A,0,0,600,0,0,17,0, $ -   ,350," $ 20,869 ",50.3%,10.6,31-Aug-2026,500,17,PO0033154,0.00,,,
CENTR,HWB4,CENTR X HYROX 4kg Competition Wall Ball,FUNCTIONAL,Hyrox,B,0,25,213,25,0,12,2, $ 227 ,183," $ 20,702 ",51.7%,5.5,15-Sep-2026,45,14,PO0033305,0.87,,,
FORCE USA,F-PS-BAR,Force USA Pro Series Barbell 20kg,STRENGTH,Barbells & Weight Plates - Olympic Barbells,B,42.5,90,0,5,85,0,1, $ 313 ,66," $ 20,293 ",54.0%,2.0,,,,,0.15,,,
FORCE USA,RHD30,Force USA Rubber Hex Dumbbells - 30kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,A,20.6,137,60,20,117,0,2, $ 196 ,187," $ 20,271 ",47.9%,5.7,31-Oct-2026,60,0,PO0033379,0.40,,,
FORCE USA,F-VESTPLATE8-V2,Force USA 8.5lb Curved Weight Vest Plate Pair- To make 9kg Vest,FUNCTIONAL,Vests,B,1.3,16,200,6,10,0,8, $ 685 ,249," $ 19,608 ",55.6%,7.5,31-Aug-2026,100,0,PO0033155,1.05,,,
CENTR,2-HTURF7,CENTR x HYROX Perform Turf - Middle 2 Lanes,FLOORING,Turf,Obsolete,0,0,0,0,0,1,0, $ -   ,9," $ 19,474 ",53.2%,0.3,,,,,0.00,,,
REP,AB-5200,AB-5200 2.0 Adjustable Bench,STRENGTH,Benches - Adjustable,B,27.5,20,0,0,20,0,0, $ -   ,24," $ 19,455 ",32.7%,0.7,,,,,0.15,,,
NIKE,NAWU-1199,Nike Adjustable Weight Bench,STRENGTH,Benches - Adjustable,A,122.9,109,0,1,108,0,0, $ -   ,29," $ 19,378 ",30.2%,0.9,,,,,0.00,,,
FORCE USA,F-M10-WS-150LBS,Force USA M10 150lbs/ 68kg Weight Stack,STRENGTH,All-In-One Trainers - All-In-One Trainers,A,2.3,9,190,6,3,0,0, $ -   ,44," $ 19,351 ",68.8%,1.3,30-Sep-2026,50,0,PO0033157,4.41,,,
Impulse,IT9515,Impulse IT9515 - Pec Fly/Rear Delt - 235lb - Full Shroud - Black,,,Non-stocked,5.5,1,0,0,1,0,0, $ -   ,6," $ 19,251 ",53.2%,0.2,,,,,1.01,,,
VORTEX,V-PULSE,Vortex Pulse Spin Bike,CARDIO,Bikes - Spin Bikes,B,89.7,180,0,6,174,0,2, $ -   ,64," $ 19,165 ",53.7%,1.9,,,,,0.07,,,
FORCE USA,F-JAMMER-2,Force USA Jammer Arm,STRENGTH,All-In-One Trainers - All-In-One Attachments,B,22.3,59,50,5,54,0,2, $ 635 ,80," $ 19,125 ",59.3%,2.4,15-Dec-2026,50,0,PO0033381,0.18,,,
FORCE USA,F-PGB25C,Force USA - Pro Grade Bumper Plates 25kg - Red,STRENGTH,Barbells & Weight Plates - Bumper Plates,B,0,16,40,16,0,2,6, $ 863 ,137," $ 18,700 ",51.3%,4.2,31-Aug-2026,40,2,PO0033155,1.29,,,
CENTR,HUOKB16,CENTR X HYROX 16kg Competition Octo Kettlebell,FUNCTIONAL,Hyrox,B,3.9,43,170,31,12,0,8," $ 1,665 ",101," $ 18,676 ",52.2%,3.1,15-Sep-2026,40,0,PO0033305,0.20,,,
FORCE USA,RHD8,Force USA Rubber Hex Dumbbells - 8kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,4.2,132,480,49,83,0,6, $ 131 ,654," $ 18,262 ",45.2%,19.8,31-Aug-2026,120,0,PO0033155,0.82,,,
FORCE USA,F-PGB15C,Force USA - Pro Grade Bumper Plates 15kg - Yellow,STRENGTH,Barbells & Weight Plates - Bumper Plates,B,2.2,38,56,24,14,0,8, $ 722 ,211," $ 18,092 ",44.6%,6.4,31-Aug-2026,56,0,PO0033155,0.84,,,
CONCEPT 2,S-ERG-ST,Concept2 SkiErg2 Floor Stand,CARDIO,Ski Trainers,A,1.5,10,0,8,2,0,1, $ 454 ,44," $ 17,985 ",13.2%,1.3,,,,,-0.03,,,
IMPULSE,IT9530,Impulse IT9530 - Dual Adjustable Pulley 2 X 235lbs Weight Stacks - Full Shroud - Black,STRENGTH,Attachments - Spare Parts,Non-stocked,8.3,2,0,1,1,0,0, $ -   ,4," $ 17,943 ",38.5%,0.1,,,,,0.25,,,
FORCE USA,F-LEGM-V3,Force USA - Leg Extension / Leg Curl Machine V3,STRENGTH,Single Stations - Lower Body,Obsolete,5.5,11,0,6,5,0,0, $ -   ,30," $ 17,880 ",51.9%,0.9,,,,,0.90,,,
FORCE USA,F-TACTICALVEST-CAMO,Force USA Tactical Training Vest Camouflage,FUNCTIONAL,Vests,B,1.9,10,0,0,10,0,1, $ 126 ,171," $ 17,880 ",61.4%,5.2,,,,,0.14,,,
FORCE USA,RHD22.5,Force USA Rubber Hex Dumbbells - 22.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,13.7,105,120,16,89,0,8, $ 659 ,214," $ 17,879 ",50.1%,6.5,30-Sep-2026,40,0,PO0033286,0.49,,,
REP,FT-3500,Arcadia Functional Trainer,STRENGTH,Home Gyms & Multi-Station Units,B,13.2,2,6,0,2,0,0, $ -   ,5," $ 17,827 ",53.7%,0.2,15-Sep-2026,6,0,PO0033156,1.71,,,
NIKE,DIAK-1P27,Nike Adjustable Dumbbell,STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,A,91.4,72,0,0,72,0,0, $ -   ,26," $ 17,791 ",57.7%,0.8,,,,,0.20,,,
FORCE USA,F-PGB10C,Force USA - Pro Grade Bumper Plates 10kg - Green,STRENGTH,Barbells & Weight Plates - Bumper Plates,B,7.2,99,80,30,69,0,14, $ 839 ,316," $ 17,689 ",34.1%,9.6,31-Oct-2026,80,0,PO0033379,0.26,,,
FORCE USA,F-S-LPSR,Force USA Solitude Lat Pulldown / Seated Row Machine,COMMERCIAL,Pin Loaded - Dual Function,B,0,1,15,1,0,1,0, $ -   ,8," $ 17,650 ",52.5%,0.2,15-Sep-2026,5,1,PO0033289,2.28,,,
REP,AB-4102-BLU,"REP Fitness Nighthawk Adjustable Bench, Blue",STRENGTH,Benches - Adjustable,B,0,0,15,0,0,0,0, $ -   ,23," $ 17,305 ",55.4%,0.7,15-Sep-2026,10,1,PO0033156,6.34,,,
CENTR,FTX.3,Centr 2 Home Gym Functional Trainer,STRENGTH,Home Gyms & Multi-Station Units,B,56.6,13,0,1,12,0,0, $ -   ,7," $ 17,145 ",61.7%,0.2,,,,,0.13,,,
REP,AB-4102-OLV,"REP Fitness Nighthawk Adjustable Bench, Army Green",STRENGTH,Benches - Adjustable,B,0,0,11,0,0,2,0, $ -   ,24," $ 17,098 ",53.1%,0.7,15-Sep-2026,5,2,PO0033156,0.00,,,
IMPULSE,IT7001,Impulse Ultimate Smith Machine,COMMERCIAL,Pin Loaded - Single Function,Non-stocked,33,5,0,0,5,0,0, $ -   ,5," $ 16,888 ",50.0%,0.2,,,,,0.26,,,
VISION,R-600E-F,Vision Fitness Recumbent R600E Frame,COMMERCIAL,Commercial Cardio,Non-stocked,55,5,0,0,5,0,0, $ -   ,3," $ 16,815 ",83.8%,0.1,,,,,1.10,,,
NIKE,BCAO-0320,Nike Strength Shield Barbell 20 kg - Orange Swoosh,STRENGTH,Barbells & Weight Plates - Olympic Barbells,B,12.8,26,40,9,17,0,1, $ 515 ,44," $ 16,682 ",44.5%,1.3,5-Oct-2026,40,0,PO0033375,0.14,,,
FORCE USA,RHD9,Force USA Rubber Hex Dumbbells - 9kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,0.7,52,480,40,12,0,6, $ 147 ,532," $ 16,552 ",46.7%,16.1,31-Aug-2026,120,0,PO0033155,1.81,,,
NIKE,SDKS-1199,Nike Kettlebell & Dumbbell Storage Rack,STRENGTH,Storage - Dumbbell Storage,B,30.5,44,0,8,36,0,1, $ 474 ,39," $ 16,326 ",50.0%,1.2,,,,,-0.03,,,
FORCE USA,RHD7,Force USA Rubber Hex Dumbbells - 7kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,8.9,227,420,50,177,0,10, $ 212 ,656," $ 16,085 ",48.5%,19.9,30-Sep-2026,120,0,PO0033286,0.55,,,
FREEFORM,FF-UB5,Freeform UB5 Upright Bike,CARDIO,Bikes - Upright Bikes,Obsolete,0,0,0,0,0,0,0, $ -   ,30," $ 15,876 ",44.4%,0.9,,,,,0.00,,,
VISION,U60-04,Vision Upright Bike U60-04,COMMERCIAL,Bikes - Upright Bikes,B,5.5,1,0,0,1,0,0, $ -   ,6," $ 15,784 ",54.0%,0.2,,,,,0.00,,,
FORCE USA,RCOWP2500,Force USA Rubber Coated Olympic Weight Plate 25kg,STRENGTH,Barbells & Weight Plates - Weight Plates,B,21.8,102,80,8,94,0,1, $ 125 ,142," $ 15,544 ",52.9%,4.3,31-Oct-2026,80,0,PO0033379,0.29,,,
FORCE USA,F-MAG-SET,Force USA Mag Grip Set,STRENGTH,Attachments - Cable Attachments,B,12,40,50,11,29,0,1, $ 218 ,80," $ 15,439 ",50.2%,2.4,31-Oct-2026,50,0,PO0033379,0.32,,,
IMPULSE,RE700,Impulse RE700 Elliptical,COMMERCIAL,Ellipticals,B,0,0,4,0,0,3,0, $ -   ,4," $ 15,418 ",49.5%,0.1,30-Sep-2026,4,3,PO0033373,0.00,,,
NIKE,ZPBS-1035,Nike Soft Plyo Box - Black,FUNCTIONAL,Boxes - Foam,A,17.9,29,0,3,26,0,3," $ 1,088 ",48," $ 15,352 ",15.5%,1.5,,,,,0.06,,,
FORCE USA,F-HEXBAR,Force USA - Hex Bar,STRENGTH,Barbells & Weight Plates - Speciality Barbells,B,15.6,38,0,4,34,0,1, $ 263 ,72," $ 15,339 ",44.7%,2.2,,,,,0.24,,,
REP,BB-4211,REP Fitness Open Trap Bar Frame,STRENGTH,Barbells & Weight Plates - Speciality Barbells,Non-stocked,12,8,5,0,8,0,1, $ 763 ,22," $ 15,152 ",61.0%,0.7,15-Sep-2026,5,0,PO0033156,0.58,,,
IMPULSE,IT9527,Impulse IT9527 - 4 Stack Multi Gym - 235lb - Full Shroud - Black,STRENGTH,Attachments - Spare Parts,Non-stocked,66,6,0,2,4,0,0, $ -   ,2," $ 15,130 ",41.0%,0.1,,,,,0.00,,,
FORCE USA,DRV10,10 Pair Pro-Style Vertical Dumbbell Rack (1-10kg Dumbbells),STRENGTH,Storage - Dumbbell Storage,A,26.5,76,8,15,61,0,1, $ 245 ,76," $ 15,117 ",39.3%,2.3,4-Sep-2026,8,0,PO0033440,0.08,,,
REP,PR-5000-UP-80-MBLK-TWO,"Rep Fitness Two 80"" Black Uprights PR-5000",STRENGTH,Rigs & Racks - Attachments,B,0,6,31,6,0,1,0, $ -   ,41," $ 14,866 ",40.0%,1.2,15-Sep-2026,10,1,PO0033156,0.79,,,
CENTR,SSFT.1,Centr 1 Home Gym Functional Trainer,STRENGTH,All-In-One Trainers - All-In-One Trainers,Obsolete,101.4,43,0,0,43,0,0, $ -   ,14," $ 14,842 ",21.2%,0.4,,,,,0.02,,,
FORCE USA,F-FOAMPLYO,Force USA Foam Plyo Box 3in1,FUNCTIONAL,Boxes - Foam,A,28.6,50,0,4,46,0,0, $ -   ,53," $ 14,771 ",27.7%,1.6,,,,,0.05,,,
IMPULSE,IF9328,Impulse IF9328 - Leg Curl/Extension Machine - 200LB - Half Shroud - Black,STRENGTH,Attachments - Spare Parts,Non-stocked,39.6,6,0,0,6,0,1," $ 2,726 ",5," $ 14,564 ",53.5%,0.2,,,,,0.00,,,
FORCE USA,RHD35,Force USA Rubber Hex Dumbbells - 35kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,7.3,41,60,16,25,0,0, $ -   ,113," $ 14,505 ",49.8%,3.4,31-Oct-2026,60,0,PO0033379,0.81,,,
FORCE USA,F-SRFUN,Force USA Functional Storage Rack,STRENGTH,Storage - Functional Storage,B,6.4,10,10,4,6,0,1, $ 463 ,31," $ 14,450 ",35.1%,0.9,31-Aug-2026,10,0,PO0033155,0.23,,,
NIKE,RHTL-1193,Nike Half Rack - Bundle,STRENGTH,Rigs & Racks - Power Racks,B,17.8,7,0,0,7,0,1," $ 1,620 ",13," $ 14,431 ",26.5%,0.4,,,,,0.07,,,
Assault,PART-AS-ASSAULTB-14,Assault AirBike Console,OTHER,SPARE-PARTS,B,44,105,0,1,104,0,1, $ 218 ,78," $ 14,353 ",56.5%,2.4,,,,,0.15,,,
CENTR,RUNR,CENTR RUNR Treadmill,CARDIO,Treadmills - Motorised Treadmill,B,114,39,0,1,38,0,1," $ 1,083 ",11," $ 14,250 ",37.1%,0.3,,,,,0.02,,,
VERSAFIT,VF-CEP-BLACK-EDGE,Versafit - Connector Elite Zero Gap Edge - Black,FLOORING,Rubber Flooring - Commercial Flooring,B,1.5,72,780,48,24,0,12, $ 349 ,519," $ 14,189 ",65.8%,15.7,31-Aug-2026,520,0,PO0033154,0.06,,,
PROFORM,PFTL90925-INT,ProForm Carbon Pro TLX,CARDIO,Treadmills - Motorised Treadmill,B,20.6,5,0,0,5,0,0, $ -   ,8," $ 14,177 ",40.7%,0.2,,,,,0.00,,,
FORCE USA,F-FIXEDCURLBARBELLSET,Force USA Fixed Curl Barbell Set and Stand,STRENGTH,Barbells & Weight Plates - Speciality Barbells,B,0,1,10,1,0,1,0, $ -   ,12," $ 14,152 ",39.5%,0.4,31-Oct-2026,10,1,PO0033379,-0.37,,,
FORCE USA,RHD5,Force USA Rubber Hex Dumbbells - 5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,6.5,214,684,56,158,0,8, $ 114 ,803," $ 14,090 ",48.4%,24.3,31-Aug-2026,192,0,PO0033155,0.66,,,
FORCE USA,F-S-LPSR-B,Force USA Solitude Lat Pulldown / Seated Row Machine,COMMERCIAL,Pin Loaded - Dual Function,Obsolete,0,0,0,0,0,0,0, $ -   ,6," $ 13,958 ",53.6%,0.2,,,,,0.00,,,
TORQUE USA,XTTM1S-MPH-101,"Torques Tank M1S, Multi Position Handles",FUNCTIONAL,Sleds,Obsolete,71.5,14,0,1,13,0,0, $ -   ,6," $ 13,830 ",43.7%,0.2,,,,,0.10,,,
REP,AB-4102-WHT,"Rep Fitness Nighthawk Adjustable Bench, White",STRENGTH,Benches - Adjustable,B,0,0,15,0,0,3,0, $ -   ,19," $ 13,822 ",54.5%,0.6,15-Sep-2026,10,4,PO0033156,0.00,,,
FORCE USA,RHD27.5,Force USA Rubber Hex Dumbbells - 27.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,20.2,92,40,8,84,0,4, $ 398 ,137," $ 13,801 ",48.1%,4.2,31-Oct-2026,40,0,PO0033379,0.41,,,
FORCE USA,F-MYRACK-LAT,Force USA Lat Pulldown Attachment,STRENGTH,Attachments - Cable Attachments,B,0,4,20,4,0,0,1, $ 308 ,49," $ 13,745 ",57.1%,1.5,15-Nov-2026,20,1,PO0033371,2.22,,,
FORCE USA,F-CKB16-V3,Force USA Competition Kettlebells 16kg,STRENGTH,Dumbbells & Kettlebells - Kettlebells,B,2.2,24,48,14,10,0,3, $ 307 ,153," $ 13,492 ",60.4%,4.6,15-Nov-2026,48,0,PO0033371,1.54,,,
FORCE USA,RHD6,Force USA Rubber Hex Dumbbells - 6kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,13,301,420,46,255,0,6, $ 98 ,645," $ 13,414 ",46.3%,19.5,30-Sep-2026,120,0,PO0033286,0.36,,,
FORCE USA,F-FIXEDSTBARBELLSET,Force USA Fixed Straight Barbell Set and Stand,STRENGTH,Barbells & Weight Plates - Speciality Barbells,B,0,2,10,2,0,1,0, $ -   ,11," $ 13,357 ",43.1%,0.3,31-Oct-2026,10,1,PO0033379,0.82,,,
REP,PR-5002-CR-30-MBLK-TWO,"REP Fitness Two 30"" Crossmembers for PR-5000",STRENGTH,Rigs & Racks - Attachments,B,6.1,21,25,12,9,0,1, $ 285 ,49," $ 13,275 ",57.5%,1.5,15-Sep-2026,5,0,PO0033156,0.70,,,
NIKE,RRTL-1193,"Nike Squat Rack - 93"" - Bundle",STRENGTH,Rigs & Racks - Power Racks,B,36.9,21,0,2,19,0,0, $ -   ,17," $ 13,020 ",43.2%,0.5,,,,,0.08,,,
FORCE USA,OCB,Force USA - Olympic EZ Curl Bar,STRENGTH,Barbells & Weight Plates - Speciality Barbells,B,12.9,64,0,4,60,0,1, $ 94 ,153," $ 12,957 ",51.3%,4.6,,,,,0.46,,,
PROFORM,PFEL07523-INT,Proform Trainer HL Elliptical,CARDIO,Ellipticals,B,36.3,11,0,0,11,0,0, $ -   ,10," $ 12,613 ",37.7%,0.3,,,,,0.12,,,
IMPULSE,IT7011,Impulse Ultimate Multi-Adjustable Bench,STRENGTH,Benches - Adjustable,Obsolete,4.7,8,0,5,3,0,1, $ 505 ,21," $ 12,567 ",46.1%,0.6,,,,,0.29,,,
TORQUE USA,XRR-SKI-101,RELENTLESS RIPPER,STRENGTH,Single Stations - Upper Body,Obsolete,14.1,3,0,0,3,0,0, $ -   ,7," $ 12,478 ",45.2%,0.2,,,,,0.19,,,
FORCE USA,F-OB-FREEDOM-V2,Force USA 15kg Freedom Barbell,STRENGTH,Barbells & Weight Plates - Speciality Barbells,Obsolete,39.2,79,0,9,70,0,5, $ 909 ,59," $ 12,476 ",47.2%,1.8,,,,,0.11,,,
FORCE USA,F-CKB20-V3,Force USA Competition Kettlebells 20kg,STRENGTH,Dumbbells & Kettlebells - Kettlebells,B,4.8,29,0,12,17,0,2, $ 226 ,116," $ 12,264 ",57.4%,3.5,,,,,1.22,,,
FORCE USA,F-PGB5C,Force USA - Pro Grade Bumper Plates 5kg - Grey,STRENGTH,Barbells & Weight Plates - Bumper Plates,B,29.2,264,0,28,236,0,16, $ 733 ,267," $ 12,201 ",37.5%,8.1,,,,,0.12,,,
FORCE USA,CALFBLK,Force USA - Calf Block,STRENGTH,Single Stations - Lower Body,B,4.7,54,116,11,43,0,3, $ 138 ,300," $ 11,980 ",41.3%,9.1,30-Sep-2026,66,0,PO0033286,0.48,,,
STEPR,STEPR-VPR-BIO,STEPR Performance Bionic Bike VPR,CARDIO,Fan Bikes,B,112.2,20,0,3,17,0,0, $ -   ,5," $ 11,928 ",58.9%,0.2,,,,,0.12,,,
NIKE,DGHK-1115,Nike Hex Grind Dumbbell 15kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,18.5,99,90,24,75,0,2, $ -   ,134," $ 11,897 ",45.3%,4.1,30-Sep-2026,90,0,PO0033075,0.30,,,
FORCE USA,RHD40,Force USA Rubber Hex Dumbbells - 40kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,0.8,18,72,16,2,0,0, $ -   ,81," $ 11,854 ",50.5%,2.5,31-Oct-2026,72,0,PO0033379,1.37,,,
IMPULSE,SL7020,Impulse Sterling 45 Degree Leg Press,COMMERCIAL,Plate Loaded - Single Function,Obsolete,0,0,0,0,0,0,0, $ -   ,3," $ 11,840 ",44.8%,0.1,,,,,0.00,,,
NIKE,SDSL-1199,Nike Dumbbell Storage Rack,STRENGTH,Storage - Dumbbell Storage,B,60.7,62,60,5,57,0,0, $ -   ,31," $ 11,775 ",56.1%,0.9,30-Sep-2026,60,0,PO0033075,0.07,,,
FORCE USA,F-SPOTTER-3,Force USA Spotter Arm (Pair) (compatible with 3x3 range only),STRENGTH,Rigs & Racks - Attachments,B,10.5,20,30,5,15,0,1, $ 317 ,47," $ 11,727 ",54.7%,1.4,31-Oct-2026,30,0,PO0033288,0.38,,,
FORCE USA,F-SRPro,Force USA Storage Rack Pro,STRENGTH,Storage - Functional Storage,B,16.5,15,0,0,15,0,1, $ 454 ,30," $ 11,687 ",55.2%,0.9,,,,,0.37,,,
NIKE,DGHK-1112,Nike Hex Grind Dumbbell 12.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,B,18,107,100,24,83,0,4, $ 215 ,152," $ 11,679 ",44.8%,4.6,30-Sep-2026,100,0,PO0033075,0.33,,,
FORCE USA,F-S-CSP,Force USA Solitude Chest / Shoulder Press Machine,COMMERCIAL,Pin Loaded - Dual Function,B,0,0,7,0,0,3,0, $ -   ,5," $ 11,613 ",52.0%,0.2,24-Aug-2026,3,3,PO0033159,0.00,,,
