8/10/2026,<< Data Refreshed Date,,,,GYM & FITNESS - STOCK AVAILABILITY,,,,,,,SALES,,,,,,PURCHASE ORDER,,,,GMROI,Calendar Week:,33,
Brand,Item Name,Item Description,Master Category,Sub Category,Classification,Current Weeks Cover,On Hand,On Order,Committed,Available,Back Ordered,Units Sold MTD, Rev $ MTD ,Units Sold YTD, Rev $ YTD ,GP % YTD,YTD WEEKLY ROS,Order ETA,Order Quantity,Allocated Demand,Next PO,Q1,GMROI Q2,GMROI Q3,GMROI Q4
FORCE USA,F-GLIDE-T,Force USA Glide Treadmill,CARDIO,Treadmills - Motorised Treadmill,Obsolete,0,0,0,0,0,0,0, $ -   ,25," $ 33,160 ",56.5%,0.8,,,,,0.00,,,
FORCE USA,RHD15,Force USA Rubber Hex Dumbbells - 15kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,A,6.5,167,240,48,119,0,12, $ 555 ,606," $ 32,998 ",46.2%,18.4,30-Sep-2026,120,0,PO0033286,0.71,,,
FORCE USA,F-WS-UPGRADE-50lbs,Force USA Weight Stack Upgrade (1 x 50lbs),STRENGTH,All-In-One Trainers - All-In-One Attachments,A,0,0,330,0,0,54,0, $ -   ,196," $ 32,756 ",60.0%,5.9,30-Sep-2026,100,54,PO0033157,4.68,,,
FORCE USA,F-UTBP10,Force USA - Ultimate Training Bumper Plates - 10kg - Black,STRENGTH,Barbells & Weight Plates - Bumper Plates,A,1.1,59,400,38,21,0,12, $ 590 ,645," $ 32,510 ",46.7%,19.5,31-Aug-2026,80,0,PO0033155,1.37,,,
FORCE USA,F-HGPRO2,Force USA Multi Gym Pro 2,STRENGTH,Home Gyms & Multi-Station Units,Obsolete,36,12,0,0,12,0,3," $ 6,815 ",11," $ 32,253 ",38.1%,0.3,,,,,0.02,,,
FORCE USA,F-TACTICALVEST-B,Force USA Tactical Training Vest Black,FUNCTIONAL,Vests,A,10.6,118,50,21,97,0,11," $ 1,369 ",303," $ 31,876 ",64.1%,9.2,30-Sep-2026,50,0,PO0033286,0.31,,,
CENTR,HBT,CENTR X HYROX Competition Rig Target,FUNCTIONAL,Hyrox,A,13.5,97,120,20,77,0,2, $ 310 ,188," $ 31,559 ",59.5%,5.7,15-Sep-2026,40,0,PO0033305,0.47,,,
POWERBLOCK,504-00110-01,Powerblock Pro 50,STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,Obsolete,10.4,14,0,2,12,0,0, $ -   ,38," $ 31,513 ",57.2%,1.2,,,,,0.32,,,
FORCE USA,F-UTBP25,Force USA - Ultimate Training Bumper Plates - 25kg - Black,STRENGTH,Barbells & Weight Plates - Bumper Plates,A,0,10,160,10,0,8,2, $ 229 ,287," $ 31,294 ",48.5%,8.7,31-Aug-2026,40,8,PO0033155,6.03,,,
FORCE USA,RHD17.5,Force USA Rubber Hex Dumbbells - 17.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,A,12.5,207,120,26,181,0,12, $ 661 ,477," $ 30,822 ",47.6%,14.5,31-Oct-2026,120,0,PO0033379,0.49,,,
POWERBLOCK,504-00183-03,Pro 100 EXP Knurl Stage 1,STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,Obsolete,0,0,0,0,0,15,0, $ -   ,48," $ 30,679 ",50.9%,1.5,,,,,0.00,,,
FORCE USA,RCOWP1500,Force USA Rubber Coated Olympic Weight Plate 15kg,STRENGTH,Barbells & Weight Plates - Weight Plates,A,5.6,121,256,44,77,0,9, $ 485 ,457," $ 30,321 ",55.4%,13.8,31-Aug-2026,64,0,PO0033155,0.50,,,
POWERBLOCK,750-00312-00,Power Block Pro 125 Commercial,STRENGTH,Dumbbells & Kettlebells - Adjustable Dumbbells,Obsolete,8.3,4,0,0,4,0,0, $ -   ,16," $ 30,046 ",42.1%,0.5,,,,,0.46,,,
FORCE USA,F-S-LP,Force USA Solitude Leg Press Machine,COMMERCIAL,Pin Loaded - Single Function,A,0,2,6,2,0,0,1," $ 2,363 ",12," $ 29,617 ",47.5%,0.4,5-Oct-2026,6,0,PO0033383,1.12,,,
FREEFORM,FF-AIR,Freeform Air Bike,CARDIO,Bikes - Fan Bikes,A,18.4,25,0,1,24,0,0, $ -   ,43," $ 29,503 ",44.6%,1.3,,,,,0.16,,,
FORCE USA,F-PGB20C,Force USA - Pro Grade Bumper Plates 20kg - Blue,STRENGTH,Barbells & Weight Plates - Bumper Plates,A,6.9,83,44,28,55,0,12," $ 1,406 ",262," $ 29,494 ",48.3%,7.9,31-Oct-2026,44,0,PO0033379,0.39,,,
CENTR,HSB30,CENTR X HYROX 30kg Competition Sand Bag + 6 Inserts,FUNCTIONAL,Hyrox,A,1.4,30,178,23,7,0,11," $ 2,199 ",167," $ 29,084 ",48.2%,5.1,15-Sep-2026,40,0,PO0033305,0.40,,,
VERSAFIT,VF-RTE50,VersaFit FatTile High Density Platform Tile - 1m x 1m x 50mm(black),FLOORING,Rubber Flooring - Commercial Flooring,A,15.2,156,240,0,156,0,9, $ 777 ,339," $ 29,055 ",42.3%,10.3,31-Aug-2026,240,0,PO0033154,0.10,,,
FORCE USA,RHD12.5,Force USA Rubber Hex Dumbbells - 12.5kg,STRENGTH,Dumbbells & Kettlebells - Fixed Dumbbells,A,6.4,160,240,34,126,0,12, $ 472 ,645," $ 28,830 ",43.7%,19.5,30-Sep-2026,120,0,PO0033286,0.63,,,
REP,AB-4102-RED,"REP Fitness Nighthawk Adjustable Bench, Red",STRENGTH,Benches - Adjustable,A,0,0,15,0,0,3,0, $ -   ,41," $ 28,481 ",51.8%,1.2,15-Sep-2026,10,4,PO0033156,0.00,,,
CENTR,HWB6,CENTR X HYROX 6kg Competition Wall ball,FUNCTIONAL,Hyrox,A,0,17,257,17,0,19,0, $ -   ,227," $ 28,425 ",50.5%,6.9,15-Sep-2026,45,0,PO0033305,2.11,,,
CENTR,HUBP25,CENTR X HYROX 25kg Competition Interlocking Plate,FUNCTIONAL,Hyrox,B,0,63,200,63,0,25,0, $ -   ,91," $ 27,918 ",72.8%,2.8,15-Sep-2026,20,20,PO0033305,0.00,,,
STEPR,STEPR-GO,STEPR Go - Home Stairclimber with LED Console & Bluetooth Connectivity,CARDIO,Stair Climbers,A,3.7,2,13,1,1,2,0, $ -   ,9," $ 27,799 ",50.4%,0.3,4-Sep-2026,13,1,PO0033200,0.00,,,
